City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Vacaria,BR,-28.5122,-50.9339,64.71,84,58,8.39,broken clouds
151,Faya,SA,18.3851,42.4509,51.91,73,1,0.96,clear sky
152,Vaini,TO,-21.2,-175.2,86.16,74,40,3.44,light rain
153,Santiago Del Estero,AR,-27.7951,-64.2615,95.74,31,1,10.07,clear sky
154,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,75,4.61,light rain
155,Viseu,PT,40.661,-7.9097,35.85,58,0,7.09,clear sky
156,Oppdal,NO,62.5943,9.6912,31.28,90,94,9.26,light snow
157,Hami,CN,42.8,93.45,8.31,37,0,5.23,clear sky
158,Oyama,JP,36.3,139.8,41.59,58,100,2.3,overcast clouds
159,Fort Wellington,GY,6.4,-57.6,75.7,84,67,11.1,broken clouds
160,Ahipara,NZ,-35.1667,173.1667,72.73,65,100,4.65,overcast clouds
161,Mar Del Plata,AR,-38.0023,-57.5575,69.82,71,0,11.5,clear sky
162,Nishihara,JP,26.1842,127.7558,61.88,88,75,36.82,light intensity shower rain
163,Noumea,NC,-22.2763,166.4572,84.99,99,97,3.96,overcast clouds
164,Zaozerne,UA,45.1582,33.2787,36.45,92,37,11.43,scattered clouds
165,Iwanai,JP,42.9744,140.5089,16.29,91,100,9.71,light snow
166,Isiro,CD,2.7739,27.616,67.55,55,99,1.05,overcast clouds
167,Ussel,FR,45.55,2.3167,26.44,93,96,7.58,overcast clouds
168,Fortuna,US,40.5982,-124.1573,56.93,65,0,12.66,clear sky
169,Felanitx,ES,39.4696,3.1483,43.14,57,97,18.48,overcast clouds
170,Talnakh,RU,69.4865,88.3972,-25.1,93,20,6.4,few clouds
171,Madras,IN,13.0878,80.2785,75.18,88,40,2.3,mist
172,Jaciara,BR,-15.9653,-54.9683,73.53,90,98,3.6,overcast clouds
173,Brigantine,US,39.4101,-74.3646,41.04,87,84,4.0,broken clouds
174,Rantoul,US,40.3084,-88.1559,33.98,89,0,11.5,clear sky
175,Gat,IL,31.61,34.7642,61.39,62,0,1.95,clear sky
176,Mount Gambier,AU,-37.8333,140.7667,66.56,70,93,7.36,overcast clouds
177,Butaritari,KI,3.0707,172.7902,80.31,81,97,18.61,light rain
178,Narsaq,GL,60.9167,-46.05,22.15,71,100,5.17,overcast clouds
179,Lake City,US,30.1897,-82.6393,58.86,50,0,4.61,clear sky
180,Saint-Philippe,RE,-21.3585,55.7679,72.99,91,100,7.27,moderate rain
181,Kosh-Agach,RU,50.0,88.6667,-7.15,99,100,0.45,light snow
182,Iracoubo,GF,5.4802,-53.2011,76.35,83,15,12.84,few clouds
183,Longyearbyen,SJ,78.2186,15.6401,24.64,74,40,3.44,scattered clouds
184,Nome,US,64.5011,-165.4064,-10.8,87,2,9.15,clear sky
185,Tessalit,ML,20.1986,1.0114,68.85,12,1,7.54,clear sky
186,San Cristobal,VE,7.7669,-72.225,75.38,81,79,3.8,broken clouds
187,Cherskiy,RU,68.75,161.3,-16.51,94,100,4.85,overcast clouds
188,Broken Hill,AU,-31.95,141.4333,81.03,27,17,3.51,few clouds
189,Pisco,PE,-13.7,-76.2167,78.85,65,0,25.32,clear sky
190,Nizhniy Ingash,RU,56.2,96.53,7.48,95,100,5.64,overcast clouds
191,Upington,ZA,-28.4478,21.2561,82.78,39,89,17.27,overcast clouds
192,Baracoa,CU,20.3467,-74.4958,75.47,83,14,3.85,few clouds
193,Arlit,NE,18.7369,7.3853,71.22,13,2,3.36,clear sky
194,Ugoofaaru,MV,5.6667,73.0,80.37,70,63,9.95,broken clouds
195,Acaponeta,MX,22.4964,-105.3594,80.35,45,33,7.74,scattered clouds
196,Qingyuan,CN,23.7,113.0333,53.58,68,100,16.69,overcast clouds
197,Timra,SE,62.487,17.3257,19.08,93,100,3.44,overcast clouds
198,Ixtapa,MX,20.7,-105.2,77.23,75,45,4.0,scattered clouds
199,Edson,CA,53.5835,-116.4356,41.14,38,100,27.63,overcast clouds
200,Upernavik,GL,72.7868,-56.1549,-8.68,98,96,3.04,overcast clouds
201,Nanortalik,GL,60.1432,-45.2371,30.38,67,100,6.91,overcast clouds
202,Anapskaya,RU,44.89,37.38,30.43,86,0,2.24,clear sky
203,Odienne,CI,9.51,-7.5692,84.43,36,85,2.44,overcast clouds
204,Avera,US,33.194,-82.5271,48.25,60,4,7.47,clear sky
205,Tiznit,MA,29.5833,-9.5,53.91,51,0,2.21,clear sky
206,Karoi,ZW,-16.8099,29.6925,61.92,98,100,4.36,light rain
207,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,20.71,scattered clouds
208,Mezen,RU,65.8522,44.24,15.51,85,9,11.12,clear sky
209,Bandarbeyla,SO,9.4942,50.8122,74.68,68,100,17.43,overcast clouds
210,Dutse,NG,11.7594,9.3392,71.55,17,100,8.39,overcast clouds
211,Alta Floresta,BR,-9.8756,-56.0861,73.18,92,68,0.74,light rain
212,Kavieng,PG,-2.5744,150.7967,82.96,77,78,14.61,light rain
213,Hasaki,JP,35.7333,140.8333,38.21,89,100,9.33,light rain
214,Galle,LK,6.0367,80.217,74.55,88,100,7.96,light rain
215,Kaniama,CD,-7.5667,24.1833,62.28,95,97,1.34,overcast clouds
216,Wukari,NG,7.85,9.7833,79.02,19,26,5.14,scattered clouds
217,Qaqortoq,GL,60.7167,-46.0333,24.35,66,100,3.33,overcast clouds
218,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,90.41,31,4,4.32,clear sky
219,Suntar,RU,62.1444,117.6319,-22.92,91,100,7.11,overcast clouds
220,Baykit,RU,61.67,96.37,-18.71,99,100,2.82,overcast clouds
221,Tommot,RU,58.9564,126.2925,-22.05,93,100,8.21,overcast clouds
222,Tabory,RU,58.5198,64.5495,4.75,97,66,4.92,broken clouds
223,Lensk,RU,60.7253,114.9278,-26.43,93,100,6.11,overcast clouds
224,Bulawayo,ZW,-20.15,28.5833,62.71,90,100,5.99,overcast clouds
225,Chuy,UY,-33.6971,-53.4616,68.7,64,0,11.14,clear sky
226,Bucerias,MX,20.75,-105.3333,77.99,76,54,8.59,broken clouds
227,Namatanai,PG,-3.6667,152.4333,83.86,70,72,8.14,broken clouds
228,Joaima,BR,-16.6542,-41.0306,73.78,92,100,1.7,overcast clouds
229,Kudahuvadhoo,MV,2.6708,72.8944,79.41,73,97,5.03,overcast clouds
230,Erenhot,CN,43.6475,111.9767,-9.71,79,0,11.65,clear sky
231,Gunjur,GM,13.2019,-16.7339,69.42,77,73,10.38,broken clouds
232,Kismayo,SO,-0.3582,42.5454,76.59,88,98,15.28,overcast clouds
233,Great Yarmouth,GB,52.6083,1.7305,39.02,81,39,3.11,scattered clouds
234,Kodiak,US,57.79,-152.4072,38.05,96,94,8.77,overcast clouds
235,Gillette,US,44.2911,-105.5022,33.03,67,46,11.01,scattered clouds
236,Saravan,AM,39.7196,45.6483,16.92,46,0,7.36,clear sky
