,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Ribeira Brava,PT,61.72,clear sky,32.65,-17.0667,Hotel do Campo
291,Zlobin,HR,38.5,few clouds,45.2924,14.6541,Hotel Bitoraj Fuzine
293,Rosetta,EG,60.6,clear sky,31.4044,30.4164,Green Valley
295,Ancud,CL,57.58,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
296,Port Hardy,CA,42.98,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
297,Boden,SE,30.2,overcast clouds,65.8252,21.6886,Quality Hotel Bodensia
299,Kinsale,IE,45.77,fog,51.7075,-8.5306,Actons Hotel Kinsale
304,Lebu,CL,65.79,few clouds,-37.6167,-73.65,Hostal Las Lilas
309,Zhuhai,CN,56.98,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
315,Ihosy,MG,67.77,overcast clouds,-22.4,46.1167,Tamana hôtel
317,Solwezi,ZM,61.03,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
321,Asyut,EG,56.3,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
322,Surt,LY,59.72,clear sky,31.2089,16.5887,فندق المدينة
328,Ardesen,TR,50.11,clear sky,41.1911,40.9875,Green Suada Hotel
329,Canals,ES,40.12,broken clouds,38.9625,-0.5844,Naturjove
338,Riyadh,SA,55.54,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
339,Balod,IN,58.77,clear sky,20.73,81.2047,CJM Bunglow
340,Westport,US,37.56,overcast clouds,41.1415,-73.3579,The Westport Inn
349,Kasempa,ZM,63.82,overcast clouds,-13.4584,25.8338,Lolelunga Forest Reserve
350,Montlucon,FR,32.7,overcast clouds,46.3333,2.6,Hotel De La Gare
355,Xacmaz,AZ,35.24,clear sky,41.4635,48.806,Kaspi otel
356,Te Anau,NZ,58.86,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
358,Raudeberg,NO,45.86,light rain,61.9875,5.1352,Nordre Silda.
359,Magole,TZ,69.73,light rain,-6.3667,37.3667,Juma lubelwa
365,Hot Springs,US,52.2,clear sky,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
370,Buraydah,SA,58.89,few clouds,26.326,43.975,Mövenpick Qassim
371,Kuito,AO,55.65,overcast clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
372,Vestmannaeyjar,IS,37.96,overcast clouds,63.4427,-20.2734,Glamping & Camping
373,Khorramshahr,IR,44.55,few clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
379,Atar,MR,68.34,clear sky,20.5169,-13.0499,Oumou Elghoura
383,Halifax,CA,43.29,light intensity drizzle,44.6453,-63.5724,Hotel Halifax
384,Camacha,PT,58.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
385,Waipawa,NZ,60.19,broken clouds,-41.4122,175.5153,Tora Coastal Walk
386,Catabola,AO,59.49,overcast clouds,-12.15,17.2833,Residencial Princesa
387,Grindavik,IS,34.27,light snow,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
393,Roseburg,US,51.51,overcast clouds,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
395,Morgan City,US,57.99,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
400,Kingman,US,48.25,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
401,Southbridge,US,33.06,light snow,42.0751,-72.0334,Southbridge Hotel & Conference Center
402,Karla,EE,31.98,overcast clouds,59.3723,24.9275,River Villa
403,Christchurch,NZ,64.42,overcast clouds,-43.5333,172.6333,The George
404,Sabha,LY,56.55,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
409,Cedar Lake,US,32.02,few clouds,41.3648,-87.4411,Cedar Lake Ministries RV Park
414,Jasidih,IN,61.52,scattered clouds,24.5167,86.65,OYO 18873 Hotel Comfort
416,Brae,GB,48.49,overcast clouds,60.3964,-1.353,Busta House Hotel
418,Hofn,IS,33.89,overcast clouds,64.2539,-15.2082,Hótel Höfn
420,Beamsville,CA,34.92,broken clouds,43.1668,-79.4829,The House by the Side of the Road
425,Ulundi,ZA,66.0,clear sky,-28.3352,31.4162,Ekhethelo Lodge Ulundi
426,Dasuya,IN,50.16,clear sky,31.8183,75.6597,President Hotel
432,Orsha,BY,30.16,overcast clouds,54.5153,30.4053,Rudakovo Hotel
433,Northam,GB,34.39,broken clouds,51.0333,-4.2167,Durrant House Hotel
434,Hamilton,US,34.75,light snow,39.1834,-84.5333,Six Acres Bed & Breakfast
435,Hauterive,FR,34.56,light snow,46.0901,3.4459,Aletti Palace Hotel
438,Palmer,US,33.62,light snow,42.1584,-72.3287,Wedgewood Motel
